Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Unit of measure,Periodicity,Base Period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Notes from original source,Related source links,Related indicators,License URL
SM.POP.TOTL,CC BY-4.0,"International migrant stock, total","International migrant stock is the number of people born in a country other than that in which they live, including refugees.","International migrant stock is the number of people born in a country other than that in which they live. It also includes refugees. The data used to estimate the international migrant stock at a particular time are obtained mainly from population censuses. The estimates are derived from the data on foreign-born population--people who have residence in one country but were born in another country. When data on the foreign-born population are not available, data on foreign population--that is, people who are citizens of a country other than the country in which they reside--are used as estimates. After the breakup of the Soviet Union in 1991 people living in one of the newly independent countries who were born in another were classified as international migrants. Estimates of migrant stock in the newly independent states from 1990 on are based on the 1989 census of the Soviet Union. For countries with information on the international migrant stock for at least two points in time, interpolation or extrapolation was used to estimate the international migrant stock on July 1 of the reference years. For countries with only one observation, estimates for the reference years were derived using rates of change in the migrant stock in the years preceding or following the single observation available. A model was used to estimate migrants for countries that had no data.","United Nations Population Division, Trends in Total Migrant Stock: 2012 Revision.",Social Protection & Labor: Migration,,Annual,,Sum,"The basic data to estimate the international migrant stock were obtained mostly from population censuses held during the decennial rounds of censuses. Some of the data used were obtained from population registers and nationally representative surveys.

In the majority of cases, the sources available had gathered information on the place of birth of the enumerated population, thus allowing for the identification of the foreign-born population. In estimating the international migrant stock, international migrants have been equated with the foreign-born whenever possible. In most countries lacking data on place of birth, information on the country of citizenship of those enumerated was available and was used as the basis for the identification of international migrants, thus effectively equating international migrants with foreign citizens.

Among the 230 countries or areas that constituted the world in 2008, 91 percent had at least one data source on the international migrant stock, and of those 78 percent used the number of foreign-born persons as the basis for estimation. For about 18 percent of the countries, the number of international migrants was based on data regarding foreign citizens. There were nine countries with no information including China, the Democratic People's Republic of Korea, Eritrea and Somalia.

For countries having information on the international migrant stock for at least two points in time, interpolation or extrapolation using an exponential growth rate was used to estimate the international migrant stock on 1 July of the reference years. In some instances, the estimates were adjusted on the basis of other relevant information, including the size of the total population in the country, to ensure that the proportion of migrants in small populations did not increase to unacceptable levels.

For all other countries with only one data source, estimates for the reference years were derived by assuming growth rates of the migrant stock in the years preceding or following the only data source available. For the nine countries or areas for which no information was available on the international migrant stock, a model, based on the general observation that the proportion of international migrants tends to be inversely related to the size of the total population, was used.

After the breakup of the Soviet Union in 1991 people living in one of the newly independent countries who were born in another were classified as international migrants. Estimates of migrant stock in the newly independent states from 1990 on are based on the 1989 census of the Soviet Union.","Movement of people, most often through migration, is a significant part of global integration. Migrants contribute to the economies of both their host country and their country of origin. Yet reliable statistics on migration are difficult to collect and are often incomplete, making international comparisons a challenge.

Global migration patterns have become increasingly complex in modern times, involving not just refugees, but also millions of economic migrants. In most developed countries, refugees are admitted for resettlement and are routinely included in population counts by censuses or population registers. But refugees and migrants, even if they often travel in the same way, are fundamentally different, and for that reason are treated very differently under modern international law. Migrants, especially economic migrants, choose to move in order to improve the future prospects of themselves and their families. Refugees have to move if they are to save their lives or preserve their freedom.","In deriving the estimates, an international migrant was equated to a person living in a country other than that in which he or she was born. That is, the number of international migrants, also called the international migrant stock, would represent the number of foreign-born persons enumerated in the countries or areas constituting the world. However, because several countries lack data on the foreign-born, data on the number of foreigners, if available, were used instead as the basis of estimation. Consequently, the overall number of migrants in world regions or at the global level do not quite represent the overall number of foreign-born persons.

The disintegration and reunification of countries causes discontinuities in the change of the international migrant stock. Because an international migrant is equated with a person who was born outside the country in which he or she resides, when a country disintegrates, persons who had been internal migrants because they had moved from one part of the country to another may become, overnight, international migrants without having moved at that time. Such changes introduce artificial but unavoidable discontinuities in the trend of the international migrant stock. The reunification of States also introduces discontinuities, but in the opposite direction.",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SM.POP.TOTL.ZS,CC BY-4.0,International migrant stock (% of population),"International migrant stock is the number of people born in a country other than that in which they live, including refugees.","International migrant stock is the number of people born in a country other than that in which they live. It also includes refugees. The data used to estimate the international migrant stock at a particular time are obtained mainly from population censuses. The estimates are derived from the data on foreign-born population--people who have residence in one country but were born in another country. When data on the foreign-born population are not available, data on foreign population--that is, people who are citizens of a country other than the country in which they reside--are used as estimates. After the breakup of the Soviet Union in 1991 people living in one of the newly independent countries who were born in another were classified as international migrants. Estimates of migrant stock in the newly independent states from 1990 on are based on the 1989 census of the Soviet Union. For countries with information on the international migrant stock for at least two points in time, interpolation or extrapolation was used to estimate the international migrant stock on July 1 of the reference years. For countries with only one observation, estimates for the reference years were derived using rates of change in the migrant stock in the years preceding or following the single observation available. A model was used to estimate migrants for countries that had no data.","United Nations Population Division, Trends in Total Migrant Stock: 2008 Revision.",Social Protection & Labor: Migration,,Annual,,Weighted average,"The basic data to estimate the international migrant stock were obtained mostly from population censuses held during the decennial rounds of censuses. Some of the data used were obtained from population registers and nationally representative surveys.

In the majority of cases, the sources available had gathered information on the place of birth of the enumerated population, thus allowing for the identification of the foreign-born population. In estimating the international migrant stock, international migrants have been equated with the foreign-born whenever possible. In most countries lacking data on place of birth, information on the country of citizenship of those enumerated was available and was used as the basis for the identification of international migrants, thus effectively equating international migrants with foreign citizens.

Among the 230 countries or areas that constituted the world in 2008, 91 percent had at least one data source on the international migrant stock, and of those 78 percent used the number of foreign-born persons as the basis for estimation. For about 18 percent of the countries, the number of international migrants was based on data regarding foreign citizens. There were nine countries with no information including China, the Democratic People's Republic of Korea, Eritrea and Somalia.

For countries having information on the international migrant stock for at least two points in time, interpolation or extrapolation using an exponential growth rate was used to estimate the international migrant stock on 1 July of the reference years. In some instances, the estimates were adjusted on the basis of other relevant information, including the size of the total population in the country, to ensure that the proportion of migrants in small populations did not increase to unacceptable levels.

For all other countries with only one data source, estimates for the reference years were derived by assuming growth rates of the migrant stock in the years preceding or following the only data source available. For the nine countries or areas for which no information was available on the international migrant stock, a model, based on the general observation that the proportion of international migrants tends to be inversely related to the size of the total population, was used.

After the breakup of the Soviet Union in 1991 people living in one of the newly independent countries who were born in another were classified as international migrants. Estimates of migrant stock in the newly independent states from 1990 on are based on the 1989 census of the Soviet Union.","Movement of people, most often through migration, is a significant part of global integration. Migrants contribute to the economies of both their host country and their country of origin. Yet reliable statistics on migration are difficult to collect and are often incomplete, making international comparisons a challenge.

Global migration patterns have become increasingly complex in modern times, involving not just refugees, but also millions of economic migrants. In most developed countries, refugees are admitted for resettlement and are routinely included in population counts by censuses or population registers. But refugees and migrants, even if they often travel in the same way, are fundamentally different, and for that reason are treated very differently under modern international law. Migrants, especially economic migrants, choose to move in order to improve the future prospects of themselves and their families. Refugees have to move if they are to save their lives or preserve their freedom.","In deriving the estimates, an international migrant was equated to a person living in a country other than that in which he or she was born. That is, the number of international migrants, also called the international migrant stock, would represent the number of foreign-born persons enumerated in the countries or areas constituting the world. However, because several countries lack data on the foreign-born, data on the number of foreigners, if available, were used instead as the basis of estimation. Consequently, the overall number of migrants in world regions or at the global level do not quite represent the overall number of foreign-born persons.

The disintegration and reunification of countries causes discontinuities in the change of the international migrant stock. Because an international migrant is equated with a person who was born outside the country in which he or she resides, when a country disintegrates, persons who had been internal migrants because they had moved from one part of the country to another may become, overnight, international migrants without having moved at that time. Such changes introduce artificial but unavoidable discontinuities in the trend of the international migrant stock. The reunification of States also introduces discontinuities, but in the opposite direction.",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SM.POP.NETM,CC BY-4.0,Net migration,"Net migration is the number of immigrants minus the number of emigrants, including citizens and noncitizens, for the five-year period.","Net migration is the net total of migrants during the period, that is, the total number of immigrants less the annual number of emigrants, including both citizens and noncitizens. Data are five-year estimates.",United Nations Population Division. World Population Prospects: 2019 Revision.,Social Protection & Labor: Migration,,Annual,,Sum,"The United Nations Population Division provides data on net migration and migrant stock. Because data on migrant stock is difficult for countries to collect, the United Nations Population Division takes into account the past migration history of a country or area, the migration policy of a country, and the influx of refugees in recent periods when deriving estimates of net migration. The data to calculate these estimates come from a variety of sources, including border statistics, administrative records, surveys, and censuses.

When there is insufficient data, net migration is derived through the difference between the overall population growth rate and the rate of natural increase (the difference between the birth rate and the death rate) during the same period. Such calculations are usually made for intercensal periods. The estimates are also derived from the data on foreign-born population - people who have residence in one country but were born in another country. When data on the foreign-born population are not available, data on foreign population - that is, people who are citizens of a country other than the country in which they reside - are used as estimates.","Movement of people, most often through migration, is a significant part of global integration. Migrants contribute to the economies of both their host country and their country of origin. Yet reliable statistics on migration are difficult to collect and are often incomplete, making international comparisons a challenge.

Global migration patterns have become increasingly complex in modern times, involving not just refugees, but also millions of economic migrants. In most developed countries, refugees are admitted for resettlement and are routinely included in population counts by censuses or population registers.

But refugees and migrants, even if they often travel in the same way, are fundamentally different, and for that reason are treated very differently under modern international law. Migrants, especially economic migrants, choose to move in order to improve the future prospects of themselves and their families. Refugees have to move if they are to save their lives or preserve their freedom.","International migration is the component of population change most difficult to measure and estimate reliably. Thus, the quality and quantity of the data used in the estimation and projection of net migration varies considerably by country. Furthermore, the movement of people across international boundaries, which is very often a response to changing socio-economic, political and environmental forces, is subject to a great deal of volatility. Refugee movements, for instance, may involve large numbers of people moving across boundaries in a short time. For these reasons, projections of future international migration levels are the least robust part of current population projections and reflect mainly a continuation of recent levels and trends in net migration.",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
FR.INR.LEND,CC BY-4.0,Lending interest rate (%),,"Lending rate is the bank rate that usually meets the short- and medium-term financing needs of the private sector. This rate is normally differentiated according to creditworthiness of borrowers and objectives of financing. The terms and conditions attached to these rates differ by country, however, limiting their comparability.","International Monetary Fund, International Financial Statistics and data files.",Financial Sector: Interest rates,,Annual,,,"Many interest rates coexist in an economy, reflecting competitive conditions, the terms governing loans and deposits, and differences in the position and status of creditors and debtors. In some economies interest rates are set by regulation or administrative fiat. In economies with imperfect markets, or where reported nominal rates are not indicative of effective rates, it may be difficult to obtain data on interest rates that reflect actual market transactions. Deposit and lending rates are collected by the International Monetary Fund (IMF) as representative interest rates offered by banks to resident customers. The terms and conditions attached to these rates differ by country, however, limiting their comparability.

In 2009 the IMF began publishing a new presentation of monetary statistics for countries that report data in accordance with its Monetary Financial Statistical Manual 2000. The presentation for countries that report data in accordance with its International Financial Statistics (IFS) remains the same.","Both banking and financial systems enhance growth, the main factor in poverty reduction. At low levels of economic development commercial banks tend to dominate the financial system, while at higher levels domestic stock markets tend to become more active and efficient. The size and mobility of international capital flows make it increasingly important to monitor the strength of financial systems. Robust financial systems can increase economic activity and welfare, but instability can disrupt financial activity and impose widespread costs on the economy.","Countries use a variety of reporting formats, sample designs, interest compounding formulas, averaging methods, and data presentations for indices and other data series on interest rates. The IMF's Monetary and Financial Statistics Manual does not provide guidelines beyond the general recommendation that such data should reflect market prices and effective (rather than nominal) interest rates and should be representative of the financial assets and markets to be covered. For more information, please see http://www.imf.org/external/pubs/ft/mfs/manual/index.htm.",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.DYN.LE00.IN,CC BY-4.0,"Life expectancy at birth, total (years)",,Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.,"(1) United Nations Population Division. World Population Prospects: 2019 Revision, or derived from male and female life expectancy at birth from sources such as: (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",Health: Mortality,,Annual,,Weighted average,"Life expectancy at birth used here is the average number of years a newborn is expected to live if mortality patterns at the time of its birth remain constant in the future. It reflects the overall mortality level of a population, and summarizes the mortality pattern that prevails across all age groups in a given year. It is calculated in a period life table which provides a snapshot of a population's mortality pattern at a given time. It therefore does not reflect the mortality pattern that a person actually experiences during his/her life, which can be calculated in a cohort life table.

High mortality in young age groups significantly lowers the life expectancy at birth. But if a person survives his/her childhood of high mortality, he/she may live much longer. For example, in a population with a life expectancy at birth of 50, there may be few people dying at age 50. The life expectancy at birth may be low due to the high childhood mortality so that once a person survives his/her childhood, he/she may live much longer than 50 years.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.",Annual data series from United Nations Population Division's World Population Prospects are interpolated data from 5-year period data. Therefore they may not reflect real events as much as observed data.,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.MMR.RISK.ZS,CC BY-4.0,Lifetime risk of maternal death (%),,"Life time risk of maternal death is the probability that a 15-year-old female will die eventually from a maternal cause assuming that current levels of fertility and mortality (including maternal mortality) do not change in the future, taking into account competing causes of death.","WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Trends in Maternal Mortality: 2000 to 2017. Geneva, World Health Organization, 2019",Health: Reproductive health,,Annual,,Weighted average,"Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.

Maternal mortality is generally of unknown reliability, as are many other cause-specific mortality indicators. Household surveys such as Demographic and Health Surveys attempt to measure maternal mortality by asking respondents about survivorship of sisters. The main disadvantage of this method is that the estimates of maternal mortality that it produces pertain to any time within the past few years before the survey, making them unsuitable for monitoring recent changes or observing the impact of interventions. In addition, measurement of maternal mortality is subject to many types of errors. Even in high-income countries with reliable vital registration systems, misclassification of maternal deaths has been found to lead to serious underestimation.

The estimates are based on an exercise by the Maternal Mortality Estimation Inter-Agency Group (MMEIG) which consists of World Health Organization (WHO), United Nations Children's Fund (UNICEF), World Bank, and United Nations Population Fund (UNFPA), and include country-level time series data. For countries without complete registration data but with other types of data and for countries with no data, maternal mortality is estimated with a regression model using available national maternal mortality data and socioeconomic information.

In countries with a high risk of maternal death, many girls die before reaching reproductive age. Lifetime risk of maternal mortality refers to the probability that a 15-year-old girl will eventually die due to a maternal cause.",,"The methodology differs from that used for previous estimates, so data should not be compared historically. Maternal mortality ratios are generally of unknown reliability, as are many other cause-specific mortality indicators. The probability cannot be assumed to provide an exact estimate of risk of maternal death.",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.STA.MMRT.NE,CC BY-4.0,"Maternal mortality ratio (national estimate, per 100,000 live births)",,"Maternal mortality ratio is the number of women who die from pregnancy-related causes while pregnant or within 42 days of pregnancy termination per 100,000 live births.","The country data compiled, adjusted and used in the estimation model by the Maternal Mortality Estimation Inter-Agency Group (MMEIG). The country data were compiled from the following sources:  civil registration and vital statistics; specialized studies on maternal mortality; population based surveys and censuses; other available data sources including data from surveillance sites.",Health: Reproductive health,,Annual,,,"Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.

Maternal mortality ratios are generally of unknown reliability, as are many other cause-specific mortality indicators. Household surveys such as Demographic and Health Surveys attempt to measure maternal mortality by asking respondents about survivorship of sisters. The main disadvantage of this method is that the estimates of maternal mortality that it produces pertain to any time within the past few years before the survey, making them unsuitable for monitoring recent changes or observing the impact of interventions. In addition, measurement of maternal mortality is subject to many types of errors. Even in high-income countries with reliable vital registration systems, misclassification of maternal deaths has been found to lead to serious underestimation.

The national estimates of maternal mortality ratios are based on national surveys, vital registration records, and surveillance data or are derived from community and hospital records.",,"Maternal mortality ratios are generally of unknown reliability, as are many other cause-specific mortality indicators. The ratios cannot be assumed to provide an exact estimate of maternal mortality. Some of the figures shown were adjusted by the Maternal Mortality Estimation Inter-Agency Group (MMEIG) to enhance reliability, so that they may differ from the published figures from sources such as household surveys.",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
MS.MIL.XPND.GD.ZS,Use and distribution of these data are subject to Stockholm International Peace Research Institute (SIPRI) terms and conditions.,Military expenditure (% of GDP),,"Military expenditures data from SIPRI are derived from the NATO definition, which includes all current and capital expenditures on the armed forces, including peacekeeping forces; defense ministries and other government agencies engaged in defense projects; paramilitary forces, if these are judged to be trained and equipped for military operations; and military space activities. Such expenditures include military and civil personnel, including retirement pensions of military personnel and social services for personnel; operation and maintenance; procurement; military research and development; and military aid (in the military expenditures of the donor country). Excluded are civil defense and current expenditures for previous military activities, such as for veterans' benefits, demobilization, conversion, and destruction of weapons. This definition cannot be applied for all countries, however, since that would require much more detailed information than is available about what is included in military budgets and off-budget military expenditure items. (For example, military budgets might or might not cover civil defense, reserves and auxiliary forces, police and paramilitary forces, dual-purpose forces such as military and civilian police, military grants in kind, pensions for military personnel, and social security contributions paid by one part of government to another.)","Stockholm International Peace Research Institute (SIPRI), Yearbook: Armaments, Disarmament and International Security.",Public Sector: Defense & arms trade,,Annual,,Weighted average,"SIPRI military expenditure data includes military and civil personnel, including retirement pensions and social services for military personnel; operation and maintenance; procurement; military research and development; and military aid (in the military expenditures of the donor country). Excluded are civil defense and current expenditures for previous military activities, such as for veterans' benefits, demobilization, and weapons conversion and destruction. This definition cannot be applied for all countries, however, since that would require more detailed information than is available about military budgets and off-budget military expenditures (for example, whether military budgets cover civil defense, reserves and auxiliary forces, police and paramilitary forces, and military pensions).

SIPRI data for the most recent years include two types of estimate which apply to all countries: (a) figures for the most recent years are for adopted budgets, budget estimates or revised estimates, and are revised, more often than not, in subsequent years; and (b) the deflator used for the latest year in the series is an estimate SIPRI's primary source of military expenditure data is official data provided by national governments. These data are derived from budget documents, defense white papers, and other public documents from official government agencies, including government responses to questionnaires sent by SIPRI, the UNODA, or the Organization for Security and Co-operation in Europe. Secondary sources include international statistics, such as those of NATO and the IMF's Government Finance Statistics Yearbook. Other secondary sources include country reports of the Economist Intelligence Unit, country reports by IMF staff, and specialist journals and newspapers.

The data on military expenditures as a share of GDP are SIPRI estimates. The SIPRI military expenditure figures are presented on a calendar-year basis. The only exception is the USA, for which statistics report data on a fiscal-year basis. Calendar-year data are calculated on the assumption of an even rate of expenditure throughout the fiscal year. The ratio of military expenditure to GDP is calculated in domestic currency at current prices and for calendar years.

The SIPRI military expenditure figures are presented on a calendar-year basis. The only exception is the USA, for which statistics report data on a fiscal-year basis. Calendar-year data are calculated on the assumption of an even rate of expenditure throughout the fiscal year.","Although national defense is an important function of government and security from external threats that contributes to economic development, high military expenditures for defense or civil conflicts burden the economy and may impede growth. Data on military expenditures as a share of gross domestic product (GDP) are a rough indicator of the portion of national resources used for military activities and of the burden on the economy.

Data on military expenditures as a share of gross domestic product (GDP) are a rough indicator of the portion of national resources used for military activities and of the burden on the economy. As an "input" measure military expenditures are not directly related to the "output" of military activities, capabilities, or security. Comparisons of military spending among countries should take into account the many factors that influence perceptions of vulnerability and risk, including historical and cultural traditions, the length of borders that need defending, the quality of relations with neighbors, and the role of the armed forces in the body politic.","Data on military expenditures are not compiled using standard definitions and are often incomplete and unreliable due to countries' reluctance to disclose military information. Even in countries where the parliament vigilantly reviews budgets and spending, military expenditures and arms transfers rarely receive close scrutiny or full, public disclosure (see Ball 1984 and Happe and Wakeman-Linn 1994). However, the Stockholm International Peace Research Institute (SIPRI) has adopted a definition of military expenditure derived from the North Atlantic Treaty Organization's (NATO) former definition (in use until 2002; see Definitions).

In the many cases where SIPRI cannot make independent estimates, it uses the national data provided. Because of the differences in definitions and the difficulty in verifying the accuracy and completeness of data, data on military expenditures are not always comparable across countries. However, SIPRI puts a high priority on ensuring that the data series for each country is comparable over time.",Data for some countries are based on partial or uncertain data or rough estimates.,,,,https://www.sipri.org/about/terms-and-conditions
MS.MIL.XPND.ZS,Use and distribution of these data are subject to Stockholm International Peace Research Institute (SIPRI) terms and conditions.,Military expenditure (% of general government expenditure),,"Military expenditures data from SIPRI are derived from the NATO definition, which includes all current and capital expenditures on the armed forces, including peacekeeping forces; defense ministries and other government agencies engaged in defense projects; paramilitary forces, if these are judged to be trained and equipped for military operations; and military space activities. Such expenditures include military and civil personnel, including retirement pensions of military personnel and social services for personnel; operation and maintenance; procurement; military research and development; and military aid (in the military expenditures of the donor country). Excluded are civil defense and current expenditures for previous military activities, such as for veterans' benefits, demobilization, conversion, and destruction of weapons. This definition cannot be applied for all countries, however, since that would require much more detailed information than is available about what is included in military budgets and off-budget military expenditure items. (For example, military budgets might or might not cover civil defense, reserves and auxiliary forces, police and paramilitary forces, dual-purpose forces such as military and civilian police, military grants in kind, pensions for military personnel, and social security contributions paid by one part of government to another.)","Stockholm International Peace Research Institute (SIPRI), Yearbook: Armaments, Disarmament and International Security.",Public Sector: Defense & arms trade,,Annual,,Weighted average,"SIPRI military expenditure data includes military and civil personnel, including retirement pensions and social services for military personnel; operation and maintenance; procurement; military research and development; and military aid (in the military expenditures of the donor country). Excluded are civil defense and current expenditures for previous military activities, such as for veterans' benefits, demobilization, and weapons conversion and destruction. This definition cannot be applied for all countries, however, since that would require more detailed information than is available about military budgets and off-budget military expenditures (for example, whether military budgets cover civil defense, reserves and auxiliary forces, police and paramilitary forces, and military pensions).

SIPRI data for the most recent years include two types of estimate which apply to all countries: (a) figures for the most recent years are for adopted budgets, budget estimates or revised estimates, and are revised, more often than not, in subsequent years; and (b) the deflator used for the latest year in the series is an estimate.

SIPRI's primary source of military expenditure data is official data provided by national governments. These data are derived from budget documents, defense white papers, and other public documents from official government agencies, including government responses to questionnaires sent by SIPRI, the UNODA, or the Organization for Security and Co-operation in Europe. Secondary sources include international statistics, such as those of NATO and the IMF's Government Finance Statistics Yearbook. Other secondary sources include country reports of the Economist Intelligence Unit, country reports by IMF staff, and specialist journals and newspapers.

The SIPRI military expenditure figures are presented on a calendar-year basis. The only exception is the USA, for which statistics report data on a fiscal-year basis. Calendar-year data are calculated on the assumption of an even rate of expenditure throughout the fiscal year.","Although national defense is an important function of government and security from external threats that contributes to economic development, high military expenditures for defense or civil conflicts burden the economy and may impede growth. Data on military expenditures as a share of gross domestic product (GDP) are a rough indicator of the portion of national resources used for military activities and of the burden on the economy.

As an "input" measure military expenditures are not directly related to the "output" of military activities, capabilities, or security. Comparisons of military spending among countries should take into account the many factors that influence perceptions of vulnerability and risk, including historical and cultural traditions, the length of borders that need defending, the quality of relations with neighbors, and the role of the armed forces in the body politic.

Comparisons of military spending among countries should take into account the many factors that influence perceptions of vulnerability and risk, including historical and cultural traditions, the length of borders that need defending, the quality of relations with neighbors, and the role of the armed forces in the body politic.","Data on military expenditures are not compiled using standard definitions and are often incomplete and unreliable due to countries' reluctance to disclose military information. Even in countries where the parliament vigilantly reviews budgets and spending, military expenditures and arms transfers rarely receive close scrutiny or full, public disclosure (see Ball 1984 and Happe and Wakeman-Linn 1994). However, the Stockholm International Peace Research Institute (SIPRI) has adopted a definition of military expenditure derived from the North Atlantic Treaty Organization's (NATO) former definition (in use until 2002; see Definitions).

Data on military expenditures as a share of central government expenditures use data on central government expenditures from the International Monetary Fund (IMF). Therefore the data may differ from comparable data published by national governments.

In the many cases where SIPRI cannot make independent estimates, it uses the national data provided. Because of the differences in definitions and the difficulty in verifying the accuracy and completeness of data, data on military expenditures are not always comparable across countries. However, SIPRI puts a high priority on ensuring that the data series for each country is comparable over time.",Data for some countries are based on partial or uncertain data or rough estimates.,,,,https://www.sipri.org/about/terms-and-conditions
SH.STA.WASH.P5,CC BY-4.0,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene is deaths attributable to unsafe water, sanitation and hygiene focusing on inadequate WASH services per 100,000 population. Death rates are calculated by dividing the number of deaths by the total population. In this estimate, only the impact of diarrhoeal diseases, intestinal nematode infections, and protein-energy malnutrition are taken into account.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",Health: Mortality,,Annual,,Weighted Average,,"Unsafe drinking water, unsafe sanitation and lack of hygiene are important causes of death.  Most diarrheal deaths in the world are caused by unsafe water, sanitation or hygiene.  According to the World Health Organization, in addition to diarrea, the following diseases could be prevented if adequate WASH services are provided: malnutrition, intestinal nematode infections, lymphatic filariasis, trachoma, schistosomiasis and malaria.",Some countries do not have death registration data or sample registration systems.  The estimates on this indicator need to be completed with other type of information for these countries.,This is the Sustainable Development Goal indicator 3.9.2[https://unstats.un.org/sdgs/metadata/].,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.BUS.NREG,CC BY-4.0,New businesses registered (number),,New businesses registered are the number of new limited liability corporations (or its equivalent) registered in the calendar year.,World Bank's Entrepreneurship Database (https://www.worldbank.org/en/programs/entrepreneurship).,Private Sector & Trade: Business environment,,Annual,,,"To facilitate cross-country comparability, the Entrepreneurship Database employs a consistent unit of measurement, source of information, and concept of entrepreneurship that is applicable and available among the diverse sample of participating economies.

The data collection process involves telephone interviews and email correspondence with business registries in 170 economies. The main sources of information for this study are national business registries. In a limited number of cases where the business registry was unable to provide the data - most often due to an absence of digitized registration systems - the Entrepreneurship Database uses other alternatives sources, such as statistical agencies, tax and labor agencies, chambers of commerce, and private vendors or publicly available data.

The units of measurement are private, formal sector companies with limited liability.","Entrepreneurship is a critical part of economic development and growth and important for the continued dynamism of the modern economy. To measure entrepreneurial activity, annual data is collected directly from 170 company registrars on the number of newly registered firms over the past seven years. The data shows the trends in new firm creation across regions, the relationship between entrepreneurship and the business environment and financial development, and the financial crisis' effect on the entrepreneurial activity in the formal sector.

Private sector development and investment - tapping private sector initiative and investment for socially useful purposes - are critical for poverty reduction. In parallel with public sector efforts, private investment, especially in competitive markets, has tremendous potential to contribute to growth. Private markets are the engine of productivity growth, creating productive jobs and higher incomes. And with government playing a complementary role of regulation, funding, and service provision, private initiative and investment can help provide the basic services and conditions that empower poor people - by improving health, education, and infrastructure.","The definition of entrepreneurship used is limited to the formal sector. Yet, it should be noted that the exclusion of the informal sector is based on the difficulties of quantifying the number of firms that compose it, rather than on its relevance for developing economies. The Entrepreneurship Database facilitates the analysis of the growth of the formal private sector and the identification of factors that encourage firms to begin operations in or transition to the formal sector. Data is collected all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.

The Entrepreneurship Database is a critical source of data that facilitates the measurement of entrepreneurial activity across countries and over time. The data also allows for a deeper understanding of the relationship between new firm registration, the regulatory environment, and economic growth. Previous research using the Entrepreneurship Database has shown a significant relationship between the level of cost, time, and procedures required to start a business and new firm registration.

To facilitate cross-country comparability, the Entrepreneurship Database employs a consistent unit of measurement, source of information, and concept of entrepreneurship that is applicable and available among the diverse sample of participating economies.","For cross-country comparability, only limited liability corporations that operate in the formal sector are included.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
BM.TRF.PWKR.CD.DT,CC BY-4.0,"Personal remittances, paid (current US$)",,"Personal remittances comprise personal transfers and compensation of employees. Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual: personal transfers and compensation of employees. Data are in current U.S. dollars.",World Bank staff estimates based on IMF balance of payments data.,Economic Policy & Debt: Balance of payments: Current account: Transfers,,Annual,,Sum,"The two main components of personal remittances, "personal transfers" and "compensation of employees", are items in the balance of payments (BPM6) framework. Both of these standard components are recorded in the current account. 
